date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
21-07-2024,POR,HOU,105,95,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/portland-trail-blazers-houston-rockets-IqB3XpKP/,139,-180
19-07-2024,CHA,POR,84,68,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/charlotte-hornets-portland-trail-blazers-Ob5Rh5D6/,-128,100
16-07-2024,POR,WSH,82,80,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/portland-trail-blazers-washington-wizards-ttucQOXo/,133,-173
15-07-2024,PHI,POR,95,97,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/philadelphia-76ers-portland-trail-blazers-buhiDHx0/,-247,181
13-07-2024,POR,SA,77,83,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/portland-trail-blazers-san-antonio-spurs-URv7pS2d/,-215,161
14-04-2024,SAC,POR,121,82,1,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-portland-trail-blazers-z3rZKOJ7/,-1857,993
12-04-2024,POR,HOU,107,116,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-houston-rockets-K2j4HkDF/,188,-231
11-04-2024,POR,GSW,92,100,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-golden-state-warriors-vFHGK0Nu/,575,-833
09-04-2024,POR,NO,100,110,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-new-orleans-pelicans-SzSSnv8O/,644,-970
07-04-2024,BOS,POR,124,107,1,NBA_2023/2024,usa/nba-2023-2024/boston-celtics-portland-trail-blazers-UcwjnP17/,-1585,906
05-04-2024,WSH,POR,102,108,0,NBA_2023/2024,usa/nba-2023-2024/washington-wizards-portland-trail-blazers-z3ORexZ3/,-143,120
03-04-2024,CHA,POR,86,89,0,NBA_2023/2024,usa/nba-2023-2024/charlotte-hornets-portland-trail-blazers-AFoRQHZT/,-123,103
01-04-2024,ORL,POR,104,103,1,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-portland-trail-blazers-f9jmFKzI/,-1912,1012
29-03-2024,MIA,POR,142,82,1,NBA_2023/2024,usa/nba-2023-2024/miami-heat-portland-trail-blazers-4dwI3WVl/,-1048,677
27-03-2024,ATL,POR,120,106,1,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-portland-trail-blazers-KU4e0cPd/,-663,468
25-03-2024,HOU,POR,110,92,1,NBA_2023/2024,usa/nba-2023-2024/houston-rockets-portland-trail-blazers-OSY0czhI/,-1024,665
23-03-2024,POR,DEN,111,114,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-denver-nuggets-AJLEowg6/,391,-522
22-03-2024,POR,LAC,117,125,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-los-angeles-clippers-WCYnXwvD/,737,-1204
20-03-2024,POR,LAC,103,116,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-los-angeles-clippers-8d2gN2Al/,495,-707
18-03-2024,CHI,POR,110,107,1,NBA_2023/2024,usa/nba-2023-2024/chicago-bulls-portland-trail-blazers-QFuq7jKj/,-343,270
16-03-2024,NO,POR,126,107,1,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-portland-trail-blazers-vLOLYdEO/,-859,582
14-03-2024,POR,NY,93,105,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-new-york-knicks-ptbLcko8/,518,-746
13-03-2024,POR,ATL,106,102,1,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-atlanta-hawks-KxFcrAoL/,151,-185
11-03-2024,POR,BOS,99,121,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-boston-celtics-WSE5rOlJ/,452,-625
09-03-2024,POR,TOR,128,118,1,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-toronto-raptors-vqk9fDzo/,119,-141
08-03-2024,POR,HOU,107,123,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-houston-rockets-zNYoWgad/,214,-261
06-03-2024,POR,OKC,120,128,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-oklahoma-city-thunder-U1RLRv8A/,584,-859
04-03-2024,MIN,POR,119,114,1,NBA_2023/2024,usa/nba-2023-2024/minnesota-timberwolves-portland-trail-blazers-IT0D029B/,-1549,855
02-03-2024,MEM,POR,100,107,0,NBA_2023/2024,usa/nba-2023-2024/memphis-grizzlies-portland-trail-blazers-0U7L2XYs/,-135,114
01-03-2024,MEM,POR,92,122,0,NBA_2023/2024,usa/nba-2023-2024/memphis-grizzlies-portland-trail-blazers-Is4h3q8e/,-114,-105
27-02-2024,POR,MIA,96,106,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-miami-heat-KCRR0jnc/,230,-287
25-02-2024,POR,CHA,80,93,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-charlotte-hornets-4OgMqbB5/,-163,136
23-02-2024,POR,DEN,112,127,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-denver-nuggets-x80av3ZP/,281,-372
15-02-2024,POR,MIN,91,128,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-minnesota-timberwolves-CWVnE6LK/,350,-469
13-02-2024,POR,MIN,109,121,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-minnesota-timberwolves-rgDtcEpT/,295,-387
10-02-2024,POR,NO,84,93,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-new-orleans-pelicans-MJ6GX13D/,269,-342
08-02-2024,POR,DET,122,128,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-detroit-pistons-QF3MprjM/,-183,152
04-02-2024,DEN,POR,112,103,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-portland-trail-blazers-2uiYIY0C/,-1379,794
02-02-2024,DEN,POR,120,108,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-portland-trail-blazers-nVLzAwIs/,-976,629
31-01-2024,POR,MIL,119,116,1,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-milwaukee-bucks-2wII32e8/,387,-523
29-01-2024,POR,PHI,130,104,1,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-philadelphia-76ers-f1tlVskq/,180,-222
28-01-2024,POR,CHI,96,104,0,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-chicago-bulls-YP4YzDL4/,187,-231
