date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
21-07-2024,SA,TOR,100,89,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/san-antonio-spurs-toronto-raptors-WSnMK7zK/,-142,110
19-07-2024,SA,PHI,80,96,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/san-antonio-spurs-philadelphia-76ers-zPgBdmEs/,105,-136
16-07-2024,SA,NO,90,85,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/san-antonio-spurs-new-orleans-pelicans-OOWDMtXA/,155,-204
14-07-2024,ATL,SA,76,79,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/atlanta-hawks-san-antonio-spurs-O2uFDQWr/,-238,179
13-07-2024,POR,SA,77,83,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/portland-trail-blazers-san-antonio-spurs-URv7pS2d/,-215,161
07-07-2024,SAC,SA,85,59,1,California_Classic,usa/california-classic/sacramento-kings-san-antonio-spurs-GOYKuNYa/,-300,219
06-07-2024,SA,CHA,65,97,0,California_Classic,usa/california-classic/san-antonio-spurs-charlotte-hornets-dK1fP1lJ/,-125,-102
14-04-2024,SA,DET,123,95,1,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-detroit-pistons-0pjMNQZl/,-200,164
12-04-2024,SA,DEN,121,120,1,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-denver-nuggets-02qhKiTd/,448,-610
10-04-2024,OKC,SA,127,89,1,NBA_2023/2024,usa/nba-2023-2024/oklahoma-city-thunder-san-antonio-spurs-Yyek4uwa/,-1688,945
09-04-2024,MEM,SA,87,102,0,NBA_2023/2024,usa/nba-2023-2024/memphis-grizzlies-san-antonio-spurs-xSW3hrvm/,182,-221
07-04-2024,SA,PHI,126,133,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-philadelphia-76ers-KS5C3QWs/,143,-170
05-04-2024,NO,SA,109,111,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-san-antonio-spurs-t47AmEtp/,-663,469
02-04-2024,DEN,SA,110,105,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-san-antonio-spurs-KQhETJkB/,-1477,847
31-03-2024,SA,GSW,113,117,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-golden-state-warriors-EgeSJrMn/,383,-512
29-03-2024,SA,NY,130,126,1,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-new-york-knicks-0OWQ1A01/,273,-344
27-03-2024,UTAH,SA,111,118,0,NBA_2023/2024,usa/nba-2023-2024/utah-jazz-san-antonio-spurs-WUayignq/,-172,143
25-03-2024,SA,PHX,104,102,1,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-phoenix-suns-GxCTu8Mp/,492,-691
23-03-2024,SA,PHX,106,131,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-phoenix-suns-tpHAnJw0/,344,-451
22-03-2024,SA,MEM,97,99,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-memphis-grizzlies-OnVvZa90/,-251,204
19-03-2024,SA,DAL,107,113,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-dallas-mavericks-EZtK83ee/,301,-387
17-03-2024,SA,BKN,122,115,1,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-brooklyn-nets-fR10FECA/,-127,108
15-03-2024,SA,DEN,106,117,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-denver-nuggets-n7J1wLag/,373,-495
12-03-2024,SA,HOU,101,103,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-houston-rockets-r7rO054m/,125,-149
11-03-2024,SA,GSW,102,112,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-golden-state-warriors-hxG1q4ZC/,166,-200
09-03-2024,GSW,SA,113,126,0,NBA_2023/2024,usa/nba-2023-2024/golden-state-warriors-san-antonio-spurs-jirAz9jr/,-733,519
07-03-2024,SAC,SA,131,129,1,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-san-antonio-spurs-U1misK7c/,-701,497
05-03-2024,HOU,SA,114,101,1,NBA_2023/2024,usa/nba-2023-2024/houston-rockets-san-antonio-spurs-My2rELwB/,-280,226
