date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
25-09-2024,CBJ,STL,3,0,1,NHL,usa/nhl/columbus-blue-jackets-st-louis-blues-8W8KRux0/,127,329
22-09-2024,utah,STL,5,3,1,NHL,usa/nhl/utah-st-louis-blues-h88pk0Gs/,134,319
21-09-2024,DAL,STL,2,1,1,NHL,usa/nhl/dallas-stars-st-louis-blues-YDfxF2hf/,-141,358
17-04-2024,DAL,STL,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-st-louis-blues-fw0UtjCE/,-157,373
14-04-2024,STL,SEA,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/st-louis-blues-seattle-kraken-SCq169z2/,122,319
12-04-2024,STL,CAR,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/st-louis-blues-carolina-hurricanes-pURAehMq/,282,347
10-04-2024,STL,CHI,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/st-louis-blues-chicago-blackhawks-zL7W4dac/,-144,351
07-04-2024,ANA,STL,5,6,0,NHL_2023/2024,usa/nhl-2023-2024/anaheim-ducks-st-louis-blues-QkllhJFi/,192,331
06-04-2024,SJ,STL,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-st-louis-blues-WOdDj6vm/,286,348
04-04-2024,NSH,STL,6,3,1,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-st-louis-blues-MHRYgKTs/,-110,346
01-04-2024,STL,EDM,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/st-louis-blues-edmonton-oilers-AHMuPaU7/,260,353
30-03-2024,STL,SJ,0,4,0,NHL_2023/2024,usa/nhl-2023-2024/st-louis-blues-san-jose-sharks-4InSRSXK/,-196,393
28-03-2024,STL,CGY,5,3,1,NHL_2023/2024,usa/nhl-2023-2024/st-louis-blues-calgary-flames-fmeRNemn/,130,325
25-03-2024,STL,VGK,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/st-louis-blues-vegas-golden-knights-O6PrawbH/,195,330
23-03-2024,MIN,STL,4,5,0,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-st-louis-blues-fDdcmta5/,109,319
21-03-2024,OTT,STL,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-st-louis-blues-UNGz3LBJ/,117,330
19-03-2024,STL,COL,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/st-louis-blues-colorado-avalanche-fwtlM306/,283,365
17-03-2024,STL,ANA,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/st-louis-blues-anaheim-ducks-fFc1V7wK/,-140,359
16-03-2024,STL,MIN,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/st-louis-blues-minnesota-wild-ARy0RwLl/,167,324
13-03-2024,STL,LAK,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/st-louis-blues-los-angeles-kings-xd6nC7Fp/,200,318
11-03-2024,BOS,STL,1,5,0,NHL_2023/2024,usa/nhl-2023-2024/boston-bruins-st-louis-blues-S6Sl3UxU/,-150,361
09-03-2024,NYR,STL,4,0,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-st-louis-blues-4SsP8Y8h/,-128,341
07-03-2024,NJ,STL,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-st-louis-blues-rw3SkK2D/,-109,342
05-03-2024,NYI,STL,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-islanders-st-louis-blues-2N77frlr/,-118,341
04-03-2024,PHI,STL,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-st-louis-blues-APSS1Qe8/,108,297
02-03-2024,STL,MIN,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/st-louis-blues-minnesota-wild-vqq9o5BR/,167,333
