date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
27-09-2024,WSH,CBJ,4,8,0,NHL,usa/nhl/washington-capitals-columbus-blue-jackets-AFe6eoWp/,-158,365
25-09-2024,CBJ,STL,3,0,1,NHL,usa/nhl/columbus-blue-jackets-st-louis-blues-8W8KRux0/,127,329
23-09-2024,BUF,CBJ,6,1,1,NHL,usa/nhl/buffalo-sabres-columbus-blue-jackets-xfN62eT7/,-218,400
16-04-2024,CBJ,CAR,6,3,1,NHL_2023/2024,usa/nhl-2023-2024/columbus-blue-jackets-carolina-hurricanes-nNazL8ke/,194,326
13-04-2024,NSH,CBJ,6,4,1,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-columbus-blue-jackets-02aMDirS/,-168,382
11-04-2024,FLA,CBJ,4,0,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-columbus-blue-jackets-8Y5v3zU9/,-217,426
09-04-2024,TB,CBJ,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/tampa-bay-lightning-columbus-blue-jackets-AwzAmeUM/,-201,423
07-04-2024,CAR,CBJ,3,0,1,NHL_2023/2024,usa/nhl-2023-2024/carolina-hurricanes-columbus-blue-jackets-MJYYorgI/,-305,504
06-04-2024,CBJ,PHI,6,2,1,NHL_2023/2024,usa/nhl-2023-2024/columbus-blue-jackets-philadelphia-flyers-EmnIkQgg/,218,339
04-04-2024,CBJ,NYI,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/columbus-blue-jackets-new-york-islanders-Otnb0MjE/,251,343
01-04-2024,CBJ,COL,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/columbus-blue-jackets-colorado-avalanche-ljObM6er/,415,403
30-03-2024,CBJ,PIT,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/columbus-blue-jackets-pittsburgh-penguins-GriY5oB1/,221,339
28-03-2024,PIT,CBJ,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-columbus-blue-jackets-URSjg8Re/,-144,374
